Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Approve new company,Chrome 107.0.0.0,,,2022-11-28 13:00:53,2022-11-28 13:05:32,4m - 39.143s,FAILED
,,,,,,,
Test Cases/Company New Reg -Update,Chrome 107.0.0.0,,,2022-11-28 13:00:53,2022-11-28 13:04:18,3m - 24.773s,FAILED
"callTestCase(findTestCase(""Login SME""), [:], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-28 13:00:55,2022-11-28 13:01:37,41.446s,PASSED
"mouseOver(findTestObject(""register/fill profile/popup""), STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-28 13:01:37,2022-11-28 13:01:38,1.386s,PASSED
"click(findTestObject(""register/fill profile/Select company""), STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-28 13:01:38,2022-11-28 13:01:49,11.119s,PASSED
maximizeWindow(STOP_ON_FAILURE),Chrome 107.0.0.0,,,2022-11-28 13:01:49,2022-11-28 13:01:50,0.321s,PASSED
"mouseOver(findTestObject(""register/fill profile/header""), STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-28 13:01:50,2022-11-28 13:01:50,0.772s,PASSED
"click(findTestObject(""register/fill profile/Select prof updated""), CONTINUE_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-28 13:01:50,2022-11-28 13:01:51,0.665s,PASSED
"waitForElementVisible(findTestObject(""register/fill profile/input__CompanyName""), 10)",Chrome 107.0.0.0,,,2022-11-28 13:01:51,2022-11-28 13:01:55,4.290s,PASSED
"setText(findTestObject(""register/fill profile/input__CompanyName""), ""test company"", STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-28 13:01:55,2022-11-28 13:01:57,1.336s,PASSED
"setText(findTestObject(""register/fill profile/input__BrandName""), ""brand"", STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-28 13:01:57,2022-11-28 13:01:58,1.176s,PASSED
"setText(findTestObject(""register/fill profile/input__BrandNameAr""), ""براند"", STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-28 13:01:58,2022-11-28 13:01:59,1.246s,PASSED
"click(findTestObject(""register/fill profile/select lan""), STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-28 13:01:59,2022-11-28 13:02:00,0.844s,PASSED
"click(findTestObject(""register/fill profile/lang arabic""), STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-28 13:02:00,2022-11-28 13:02:01,0.836s,PASSED
"click(findTestObject(""register/fill profile/next 1""), STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-28 13:02:01,2022-11-28 13:02:02,0.770s,PASSED
"scrollToElement(findTestObject(""register/fill profile/Page_/scroll""), 2, STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-28 13:02:02,2022-11-28 13:02:02,0.831s,PASSED
"click(findTestObject(""register/fill profile/select city""), STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-28 13:02:02,2022-11-28 13:02:03,0.929s,PASSED
"click(findTestObject(""register/fill profile/city""), STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-28 13:02:03,2022-11-28 13:02:04,0.953s,PASSED
"setText(findTestObject(""register/fill profile/Page_/input__District""), ""test "", STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-28 13:02:04,2022-11-28 13:02:05,1.237s,PASSED
"setText(findTestObject(""register/fill profile/input__BuildingNumber""), ""4544"", STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-28 13:02:05,2022-11-28 13:02:07,1.681s,PASSED
"setText(findTestObject(""register/fill profile/input__StreetAddress""), ""Street"", STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-28 13:02:07,2022-11-28 13:02:08,1.180s,PASSED
"setText(findTestObject(""register/fill profile/input__StreetAddressAr""), ""شارع ابو حمد"", STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-28 13:02:08,2022-11-28 13:02:10,1.410s,PASSED
"setText(findTestObject(""register/fill profile/input__GeoLocation""), ""https://www.google.com/maps?cid=18374608280476341734"", STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-28 13:02:10,2022-11-28 13:02:11,1.662s,PASSED
"click(findTestObject(""register/fill profile/next2""), STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-28 13:02:11,2022-11-28 13:02:12,0.689s,PASSED
"scrollToElement(findTestObject(""register/fill profile/Page_/next3""), 0, STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-28 13:02:12,2022-11-28 13:02:13,0.846s,PASSED
"click(findTestObject(""register/fill profile/Page_/next3""), STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-28 13:02:13,2022-11-28 13:02:14,0.750s,PASSED
"scrollToElement(findTestObject(""register/fill profile/Page_/scroll""), 0, STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-28 13:02:14,2022-11-28 13:02:15,1.528s,PASSED
"click(findTestObject(""register/fill profile/Page_/label_""), STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-28 13:02:15,2022-11-28 13:02:16,0.619s,PASSED
"click(findTestObject(""register/fill profile/Page_/input__btn_SAGIA_Save""), STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-28 13:02:16,2022-11-28 13:02:17,0.668s,PASSED
"scrollToElement(findTestObject(""register/fill profile/Page_/scroll""), 0, STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-28 13:02:17,2022-11-28 13:02:18,1.162s,PASSED
"click(findTestObject(""register/fill profile/Page_/input__btn_ZAKAT_Save""), STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-28 13:02:18,2022-11-28 13:02:18,0.716s,PASSED
delay(5),Chrome 107.0.0.0,,,2022-11-28 13:02:18,2022-11-28 13:02:23,5.019s,PASSED
"scrollToElement(findTestObject(""register/fill profile/Page_/scroll""), 5, STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-28 13:02:23,2022-11-28 13:02:24,0.502s,PASSED
"waitForElementVisible(findTestObject(""register/fill profile/label_company4""), 5)",Chrome 107.0.0.0,,,2022-11-28 13:02:24,2022-11-28 13:02:24,0.532s,PASSED
"click(findTestObject(""register/fill profile/label_company4""), STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-28 13:02:24,2022-11-28 13:02:25,0.586s,PASSED
"setText(findTestObject(""register/fill profile/Page_/input__LocalContentScore""), ""4"", STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-28 13:02:25,2022-11-28 13:02:26,1.066s,PASSED
