Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Approve new company,Chrome 107.0.0.0,,,2022-11-28 13:20:42,2022-11-28 13:24:54,4m - 12.770s,FAILED
,,,,,,,
Test Cases/Company New Reg -Update,Chrome 107.0.0.0,,,2022-11-28 13:20:42,2022-11-28 13:24:14,3m - 31.481s,FAILED
"callTestCase(findTestCase(""Login SME""), [:], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-28 13:20:44,2022-11-28 13:21:27,42.481s,PASSED
"mouseOver(findTestObject(""register/fill profile/popup""), STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-28 13:21:27,2022-11-28 13:21:28,1.422s,PASSED
"click(findTestObject(""register/fill profile/Select company""), STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-28 13:21:28,2022-11-28 13:21:43,14.881s,PASSED
maximizeWindow(STOP_ON_FAILURE),Chrome 107.0.0.0,,,2022-11-28 13:21:43,2022-11-28 13:21:44,0.365s,PASSED
"mouseOver(findTestObject(""register/fill profile/header""), STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-28 13:21:44,2022-11-28 13:21:45,0.891s,PASSED
"click(findTestObject(""register/fill profile/Select prof updated""), CONTINUE_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-28 13:21:45,2022-11-28 13:21:45,0.782s,PASSED
"waitForElementVisible(findTestObject(""register/fill profile/input__CompanyName""), 10)",Chrome 107.0.0.0,,,2022-11-28 13:21:45,2022-11-28 13:21:50,4.876s,PASSED
"setText(findTestObject(""register/fill profile/input__CompanyName""), ""test company"", STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-28 13:21:50,2022-11-28 13:21:52,1.401s,PASSED
"setText(findTestObject(""register/fill profile/input__BrandName""), ""brand"", STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-28 13:21:52,2022-11-28 13:21:53,1.327s,PASSED
"setText(findTestObject(""register/fill profile/input__BrandNameAr""), ""براند"", STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-28 13:21:53,2022-11-28 13:21:54,1.142s,PASSED
"click(findTestObject(""register/fill profile/select lan""), STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-28 13:21:54,2022-11-28 13:21:55,0.829s,PASSED
"click(findTestObject(""register/fill profile/lang arabic""), STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-28 13:21:55,2022-11-28 13:21:56,0.881s,PASSED
